omega_m,alpha_qg,correction_power_n,dt_main,q1_delta_proxy_l2,q1_refinement_max_obs,q1_local_sensitivity_vs_n5_dt1e3,q2_D_p95,q2_D_p99,q2_true_replication_rel_diff,pass_a001_policy
0.295,5e-07,4,0.0008,0.002586436504396621,1.0942214971131918e-07,0.866339147797209,0.13262706322571094,0.15044887202277613,0.0,True
0.295,5e-07,4,0.001,0.0025865890476340424,1.7076508628155026e-07,0.8663312647275583,0.13262706322571094,0.15044887202277613,0.0,True
0.295,5e-07,4,0.0012,0.0025867416742744245,2.4690315846793815e-07,0.866323377347842,0.13262706322571094,0.15044887202277613,0.0,True
0.295,5e-07,5,0.0008,0.019349607077430032,1.0942214971131918e-07,5.858741893615951e-05,0.13262706322571094,0.15044887202277613,0.0,True
0.295,5e-07,5,0.001,0.019350740787387268,1.7076508628155026e-07,0.0,0.13262706322571094,0.15044887202277613,0.0,True
0.295,5e-07,5,0.0012,0.019351875277531228,2.4690315846793815e-07,5.8627737119986434e-05,0.13262706322571094,0.15044887202277613,0.0,True
0.3,5e-07,4,0.0008,0.006705062202254371,1.7315641826579947e-07,0.8633168755757544,0.2704349573326371,0.354570193366034,0.0,True
0.3,5e-07,4,0.001,0.0067060955821142635,2.7957944614838807e-07,0.8632958100608187,0.2704349573326371,0.354570193366034,0.0,True
0.3,5e-07,4,0.0012,0.006707129667858559,4.236270686337952e-07,0.8632747301563838,0.2704349573326371,0.354570193366034,0.0,True
0.3,5e-07,5,0.0008,0.04904823423305771,1.7315641826579947e-07,0.00014858919404680352,0.2704349573326371,0.354570193366034,0.0,True
0.3,5e-07,5,0.001,0.049055523353736384,2.7957944614838807e-07,0.0,0.2704349573326371,0.354570193366034,0.0,True
0.3,5e-07,5,0.0012,0.0490628177322233,4.236270686337952e-07,0.00014869637480603197,0.2704349573326371,0.354570193366034,0.0,True
0.295,1e-06,4,0.0008,0.005166885413195848,1.0942214971131918e-07,0.8653707366556659,0.12958186180521403,0.14683664166920107,0.0,True
0.295,1e-06,4,0.001,0.00516718986002244,1.7076508628155026e-07,0.8653628039362976,0.12958186180521403,0.14683664166920107,0.0,True
0.295,1e-06,4,0.0012,0.005167494473174585,2.4690315846793815e-07,0.8653548668831216,0.12958186180521403,0.14683664166920107,0.0,True
0.295,1e-06,5,0.0008,0.03837638694261418,1.0942214971131918e-07,5.819933507253564e-05,0.12958186180521403,0.14683664166920107,0.0,True
0.295,1e-06,5,0.001,0.038378620552811354,1.7076508628155026e-07,0.0,0.12958186180521403,0.14683664166920107,0.0,True
0.295,1e-06,5,0.0012,0.038380855694477266,2.4690315846793815e-07,5.823923928781198e-05,0.12958186180521403,0.14683664166920107,0.0,True
0.3,1e-06,4,0.0008,0.013347322643589031,1.7315641826579947e-07,0.8598405807534109,0.2430781790940743,0.3032376604795471,0.0,True
0.3,1e-06,4,0.001,0.013349367334776867,2.7957944614838807e-07,0.8598191095762259,0.2430781790940743,0.3032376604795471,0.0,True
0.3,1e-06,4,0.0012,0.013351413416321371,4.236270686337952e-07,0.8597976237989905,0.2430781790940743,0.3032376604795471,0.0,True
0.3,1e-06,5,0.0008,0.09521590191561018,1.7315641826579947e-07,0.00014363390389007433,0.2430781790940743,0.3032376604795471,0.0,True
0.3,1e-06,5,0.001,0.09522958011196747,2.7957944614838807e-07,0.0,0.2430781790940743,0.3032376604795471,0.0,True
0.3,1e-06,5,0.0012,0.09524326797028304,4.236270686337952e-07,0.00014373536352334964,0.2430781790940743,0.3032376604795471,0.0,True
