ic_scale,alpha_qg,proxy_primary_l2,proxy_template_maxabs,proxy_template_terminal
0.9988,3e-07,0.03534241827153586,0.055830935736358,0.055830935736358
0.9988,5e-07,0.057844481157236116,0.09024892565293191,0.09024892565293191
0.9988,7e-07,0.07962824960012131,0.12288526460600513,0.12288526460600513
0.9988,1e-06,0.11113491087786544,0.16908292981160494,0.16908292981160494
0.9988,1.3e-06,0.14142594964460123,0.2125487279550004,0.2125487279550004
0.999,3e-07,0.03424019126548142,0.05366472456644472,0.05366472456644472
0.999,5e-07,0.05610571076766932,0.08696050555410151,0.08696050555410151
0.999,7e-07,0.07731175245950594,0.11865012515302054,0.11865012515302054
0.999,1e-06,0.10803822898992785,0.16366704523459513,0.16366704523459513
0.999,1.3e-06,0.13763023687004236,0.20616099469658827,0.20616099469658827
0.9991,3e-07,0.033722485036584995,0.05268026520996283,0.05268026520996283
0.9991,5e-07,0.05528622767152524,0.08545770721790663,0.08545770721790663
0.9991,7e-07,0.0762168950558658,0.1167059871292968,0.1167059871292968
0.9991,1e-06,0.10656957393157829,0.16116762724083222,0.16116762724083222
0.9991,1.3e-06,0.1358250631399902,0.20320078893763982,0.20320078893763982
0.9992,3e-07,0.03322479404809829,0.051752714512325215,0.051752714512325215
0.9992,5e-07,0.0544968275387034,0.08403710120806812,0.08403710120806812
0.9992,7e-07,0.0751604435092115,0.1148632356233229,0.1148632356233229
0.9992,1e-06,0.10514948486401844,0.1587909079366484,0.1587909079366484
0.9992,1.3e-06,0.1340766408818239,0.20037873657171423,0.20037873657171423
0.9993,3e-07,0.032745667954485996,0.0508765792800408,0.0508765792800408
0.9993,5e-07,0.05373544637938476,0.08269112741269763,0.08269112741269763
0.9993,7e-07,0.0741398839747533,0.11311290672856428,0.11311290672856428
0.9993,1e-06,0.10377496789424913,0.15652654189434556,0.15652654189434556
0.9993,1.3e-06,0.132381643415919,0.19768361389561562,0.19768361389561562
0.9994,3e-07,0.03228381495778629,0.050047094298967865,0.050047094298967865
0.9994,5e-07,0.05300023510861246,0.0814131864817283,0.0814131864817283
0.9994,7e-07,0.07315295396666599,0.11144713917571591,0.11144713917571591
