omega_m,alpha_qg,q1_delta_alpha,q1_delta_2alpha,ratio_2a_over_a
0.28,3e-07,0.004170705293284932,0.008326714280169492,1.9964763018796772
0.28,5e-07,0.0069430009810287525,0.013845473551198554,1.9941626955013134
0.28,7e-07,0.009708812378315317,0.019338758373952204,1.991876824929013
0.28,1e-06,0.013845473551198554,0.027531707360057587,1.988498786859643
0.28,1.3e-06,0.017967805530178686,0.03566932881531917,1.9851800352250621
0.285,3e-07,0.005314325596903124,0.010604922477156768,1.995534952418929
0.285,5e-07,0.008844006206003889,0.017622708683782295,1.9926160467658716
0.285,7e-07,0.012363238898718843,0.024599654998947132,1.9897419438763992
0.285,1e-06,0.017622708683782295,0.03499010373959497,1.9855122369351448
0.285,1.3e-06,0.022859206511955343,0.04529270421635113,1.981376921051967
0.29,3e-07,0.007306008612131904,0.014567030457071063,1.9938424973767432
0.29,5e-07,0.012151633727055253,0.024179922226339,1.9898494942701515
0.29,7e-07,0.016977526156602127,0.033716385507584434,1.9859421918470146
0.29,1e-06,0.024179922226339,0.04788193066370981,1.980235098173741
0.29,1.3e-06,0.03133932903788141,0.06188589439762599,1.9747038720203438
0.295,3e-07,0.011650208052401622,0.023181571144714554,1.9897988980491916
0.295,5e-07,0.019350740787387268,0.038378620552811354,1.9833153146170195
0.295,7e-07,0.02699963554347053,0.05338007905180477,1.9770666520982723
0.295,1e-06,0.038378620552811354,0.07553306981464412,1.9681027803149929
0.295,1.3e-06,0.04964759859892043,0.09728900810830605,1.9595914173866935
0.3,3e-07,0.029818060047019035,0.058499982835279775,1.9618976802324255
0.3,5e-07,0.049055523353736384,0.09522958011196747,1.941261118045176
0.3,7e-07,0.06783513906801192,0.13047151514607164,1.9233617994835714
0.3,1e-06,0.09522958011196747,0.18097430532502215,1.900400118453082
0.3,1.3e-06,0.12178855064762262,0.22907999222765868,1.8809649265838322
0.305,3e-07,0.23937267414094066,0.528089982278648,2.2061414661211947
0.305,5e-07,0.23962901168244738,0.5354714982716907,2.234585430671003
0.305,7e-07,0.37111954409209186,0.5963993163084048,1.607027508528112
0.305,1e-06,0.5354714982716907,0.5999913682295864,1.120491697814247
0.305,1.3e-06,0.5864095055101433,0.5919510810606353,1.0094500097601082
0.31,3e-07,0.1878523123276792,0.573616568738525,3.0535507475571384
0.31,5e-07,0.6062169853957429,0.59160025976071,0.9758886240617426
0.31,7e-07,0.37725186829069624,0.7463123756339343,1.9782867584338955
0.31,1e-06,0.59160025976071,0.8374479260249575,1.4155638240654027
0.31,1.3e-06,0.7220083790672596,0.8622194337365893,1.1941958829487032
