omega_m,alpha_qg,q1_delta_alpha,q1_delta_2alpha,ratio_2a_over_a
0.285,3e-07,0.005314325596903124,0.010604922477156768,1.995534952418929
0.285,5e-07,0.008844006206003889,0.017622708683782295,1.9926160467658716
0.285,7e-07,0.012363238898718843,0.024599654998947132,1.9897419438763992
0.285,1e-06,0.017622708683782295,0.03499010373959497,1.9855122369351448
0.285,1.3e-06,0.022859206511955343,0.04529270421635113,1.981376921051967
0.29,3e-07,0.007306008612131904,0.014567030457071063,1.9938424973767432
0.29,5e-07,0.012151633727055253,0.024179922226339,1.9898494942701515
0.29,7e-07,0.016977526156602127,0.033716385507584434,1.9859421918470146
0.29,1e-06,0.024179922226339,0.04788193066370981,1.980235098173741
0.29,1.3e-06,0.03133932903788141,0.06188589439762599,1.9747038720203438
0.295,3e-07,0.011650208052401622,0.023181571144714554,1.9897988980491916
0.295,5e-07,0.019350740787387268,0.038378620552811354,1.9833153146170195
0.295,7e-07,0.02699963554347053,0.05338007905180477,1.9770666520982723
0.295,1e-06,0.038378620552811354,0.07553306981464412,1.9681027803149929
0.295,1.3e-06,0.04964759859892043,0.09728900810830605,1.9595914173866935
0.3,3e-07,0.029818060047019035,0.058499982835279775,1.9618976802324255
0.3,5e-07,0.049055523353736384,0.09522958011196747,1.941261118045176
0.3,7e-07,0.06783513906801192,0.13047151514607164,1.9233617994835714
0.3,1e-06,0.09522958011196747,0.18097430532502215,1.900400118453082
0.3,1.3e-06,0.12178855064762262,0.22907999222765868,1.8809649265838322
