omega_m,alpha_qg,delta_q1_delta_proxy_l2,delta_q1_refinement_max_obs,delta_q1_assumption_sensitivity_hardened,delta_q2_D_star,delta_q2_D_p95,delta_q2_D_p99,delta_q2_true_replication_rel_diff,delta_q2_method_disagreement_rel_diff,pass_all_envelope_pass,pass_all_envelope_fail,gate_flip
0.285,3e-07,0.0,0.0,0.8469824684038009,0.0,0.0,0.0,0.0,0.0,True,False,1
0.285,5e-07,0.0,0.0,0.8468479109383084,0.0,0.0,0.0,0.0,0.0,True,False,1
0.285,7e-07,0.0,0.0,0.8467137004903731,0.0,0.0,0.0,0.0,0.0,True,False,1
0.285,1e-06,0.0,0.0,0.8465130330731494,0.0,0.0,0.0,0.0,0.0,True,False,1
0.285,1.3e-06,0.0,0.0,0.846313140218722,0.0,0.0,0.0,0.0,0.0,True,False,1
0.29,3e-07,0.0,0.0,0.8401998112434095,0.0,0.0,0.0,0.0,0.0,True,False,1
0.29,5e-07,0.0,0.0,0.8400335578755179,0.0,0.0,0.0,0.0,0.0,True,False,1
0.29,7e-07,0.0,0.0,0.839867719618281,0.0,0.0,0.0,0.0,0.0,True,False,1
0.29,1e-06,0.0,0.0,0.8396197474557279,0.0,0.0,0.0,0.0,0.0,True,False,1
0.29,1.3e-06,0.0,0.0,0.8393727259692269,0.0,0.0,0.0,0.0,0.0,True,False,1
0.295,3e-07,0.0,0.0,0.8248941614221669,0.0,0.0,0.0,0.0,0.0,True,False,1
0.295,5e-07,0.0,0.0,0.8247036743596701,0.0,0.0,0.0,0.0,0.0,True,False,1
0.295,7e-07,0.0,0.0,0.8245123051508295,0.0,0.0,0.0,0.0,0.0,True,False,1
0.295,1e-06,0.0,0.0,0.8242238196748146,0.0,0.0,0.0,0.0,0.0,True,False,1
0.295,1.3e-06,0.0,0.0,0.8239338935195355,0.0,0.0,0.0,0.0,0.0,True,False,1
0.3,3e-07,0.0,0.0,0.7302737406070925,0.0,0.0,0.0,0.0,0.0,True,False,1
0.3,5e-07,0.0,0.0,0.733462739176407,0.0,0.0,0.0,0.0,0.0,True,False,1
0.3,7e-07,0.0,0.0,0.7361468630303629,0.0,0.0,0.0,0.0,0.0,True,False,1
0.3,1e-06,0.0,0.0,0.7394473187681516,0.0,0.0,0.0,0.0,0.0,True,False,1
0.3,1.3e-06,0.0,0.0,0.7420859817012865,0.0,0.0,0.0,0.0,0.0,True,False,1
