run_id,alpha_qg,omega_m,assumption,setting,delta_proxy_l2,refinement_max_obs,sens_rel_vs_base
19,1e-06,0.3,correction_power_n,4,0.013349367334776867,2.7957944614838807e-07,0.8598191095762259
19,1e-06,0.3,correction_power_n,5,0.09522958011196747,2.7957944614838807e-07,0.0
19,1e-06,0.3,correction_power_n,6,0.594891244268103,2.7957944614838807e-07,5.246916594283482
19,1e-06,0.3,ic_a0_scale,0.98,0.8726804603064447,0.33683224995498895,8.163964172480554
19,1e-06,0.3,ic_a0_scale,1.0,0.09522958011196747,2.7957944614838807e-07,0.0
19,1e-06,0.3,ic_a0_scale,1.02,0.029097098860955652,1.5357103200694038e-07,0.6944531433747262
19,1e-06,0.3,dt_main,0.0008,0.09521590191561018,1.7315641826579947e-07,0.00014363390389007433
19,1e-06,0.3,dt_main,0.001,0.09522958011196747,2.7957944614838807e-07,0.0
19,1e-06,0.3,dt_main,0.0012,0.09524326797028304,4.236270686337952e-07,0.00014373536352334964
19,1e-06,0.3,combined_stress,n=4,a0*1.02,dt=1.2e-3,0.003979633732665081,2.208254857027364e-07,0.9582101094220207
19,1e-06,0.3,baseline,n=5,a0*1.00,dt=1e-3,0.09522958011196747,2.7957944614838807e-07,0.0
16,4.6415888336127725e-07,0.3,correction_power_n,4,0.00622750547412659,2.7957944614838807e-07,0.863560446134537
16,4.6415888336127725e-07,0.3,correction_power_n,5,0.045642962745745384,2.7957944614838807e-07,0.0
16,4.6415888336127725e-07,0.3,correction_power_n,6,0.31340284151332565,2.7957944614838807e-07,5.866400046358377
16,4.6415888336127725e-07,0.3,ic_a0_scale,0.98,0.445662798721671,0.4744517152386702,8.764107584431619
16,4.6415888336127725e-07,0.3,ic_a0_scale,1.0,0.045642962745745384,2.7957944614838807e-07,0.0
16,4.6415888336127725e-07,0.3,ic_a0_scale,1.02,0.013596442818585045,1.5357103200694038e-07,0.702113053126615
16,4.6415888336127725e-07,0.3,dt_main,0.0008,0.045636162271874905,1.7315641826579947e-07,0.00014899282301985507
16,4.6415888336127725e-07,0.3,dt_main,0.001,0.045642962745745384,2.7957944614838807e-07,0.0
16,4.6415888336127725e-07,0.3,dt_main,0.0012,0.04564976813332304,4.236270686337952e-07,0.00014910047832708453
16,4.6415888336127725e-07,0.3,combined_stress,n=4,a0*1.02,dt=1.2e-3,0.0018489088871173009,2.208254857027364e-07,0.9594919177920674
16,4.6415888336127725e-07,0.3,baseline,n=5,a0*1.00,dt=1e-3,0.045642962745745384,2.7957944614838807e-07,0.0
13,2.1544346900318822e-07,0.3,correction_power_n,4,0.0028974217447518165,2.7957944614838807e-07,0.8654626450514736
13,2.1544346900318822e-07,0.3,correction_power_n,5,0.021536187818329167,2.7957944614838807e-07,0.0
13,2.1544346900318822e-07,0.3,correction_power_n,6,0.15814135689778142,2.7957944614838807e-07,6.3430524581134575
13,2.1544346900318822e-07,0.3,ic_a0_scale,0.98,5.573102335154368,5.088026398216301,257.7784979480406
13,2.1544346900318822e-07,0.3,ic_a0_scale,1.0,0.021536187818329167,2.7957944614838807e-07,0.0
13,2.1544346900318822e-07,0.3,ic_a0_scale,1.02,0.0063308882487497975,1.5357103200694038e-07,0.7060348701378631
13,2.1544346900318822e-07,0.3,dt_main,0.0008,0.021532913915555073,1.7315641826579947e-07,0.00015201867673658652
13,2.1544346900318822e-07,0.3,dt_main,0.001,0.021536187818329167,2.7957944614838807e-07,0.0
13,2.1544346900318822e-07,0.3,dt_main,0.0012,0.02153946411731059,4.236270686337952e-07,0.00015212994096542746
13,2.1544346900318822e-07,0.3,combined_stress,n=4,a0*1.02,dt=1.2e-3,0.0008585605678005728,2.208254857027364e-07,0.9601340508801274
13,2.1544346900318822e-07,0.3,baseline,n=5,a0*1.00,dt=1e-3,0.021536187818329167,2.7957944614838807e-07,0.0
