omega_m,method,epsilon_q,l2_vs_rk4_fine,stable
0.295,euler,0.0,0.037105821179414585,True
0.295,heun,0.0,0.00027405799042050193,True
0.295,rk4,0.0,2.7891484833317963e-07,True
0.3,euler,0.0,0.050766181946655366,True
0.3,heun,0.0,0.00037910773444657517,True
0.3,rk4,0.0,3.312391546717416e-07,True
0.305,euler,0.0,0.08972627090706557,True
0.305,heun,0.0,0.000645781220838239,True
0.305,rk4,0.0,4.407244743963482e-07,True
0.31,euler,0.0,0.09162107801294085,True
0.31,heun,0.0,0.000894004189608536,True
0.31,rk4,0.0,1.9199898344882153e-05,True
0.315,euler,0.0,0.0713791747191276,True
0.315,heun,0.0,0.00068575785347442,True
0.315,rk4,0.0,0.00010984352030151551,True
