omega_m,epsilon_q,quantum_model,dt_l2_vs_ref,stable_ref,stable_coarser
0.295,0.25,gaussian,0.0002712572643507787,True,True
0.295,0.25,plateau,0.00041112557282612706,True,True
0.295,0.75,gaussian,0.0007239563808140232,True,True
0.295,0.75,plateau,0.0007239563808140232,True,True
0.3,0.25,gaussian,0.0001855503913815055,False,False
0.3,0.25,plateau,0.000401967187843818,True,True
0.3,0.75,gaussian,0.0008079403777889639,True,True
0.3,0.75,plateau,0.0008079403777889639,True,True
0.305,0.25,gaussian,0.00031107761734542596,False,True
0.305,0.25,plateau,0.00027126235673851826,True,False
0.305,0.75,gaussian,0.0006514864588357915,True,True
0.305,0.75,plateau,0.0006514864588357915,True,True
0.31,0.25,gaussian,0.0002420944110864308,True,True
0.31,0.25,plateau,0.0005130597532935681,True,True
0.31,0.75,gaussian,0.000684515146157735,True,True
0.31,0.75,plateau,0.000684515146157735,True,True
0.315,0.25,gaussian,0.00017818577537168169,True,True
0.315,0.25,plateau,0.00048447339863938015,True,True
0.315,0.75,gaussian,0.0008279478687827614,True,True
0.315,0.75,plateau,0.0008279478687827614,True,True
