omega_m,lane,quantum_model,amplitude,stable,refinement_l2,max_correction_ratio,turning_points,blowup_near_turning,final_a,passes_refinement_gate,passes_ratio_gate
0.295,alpha_qg,n/a,3e-07,True,6.930588009190191e-08,0.04165174354857803,0,False,0.775994062870156,True,True
0.295,bohmian_q,off,3e-07,True,6.971004562499365e-08,0.0,0,False,0.7689385640694077,True,True
0.295,bohmian_q,gaussian,3e-07,True,6.971037276435196e-08,0.08252878296567617,0,False,0.768932224599993,True,True
0.295,bohmian_q,plateau,3e-07,True,6.971042531722064e-08,0.0727492363657763,0,False,0.7689312712258223,True,True
0.295,bohmian_q,unified_dmde_proxy,3e-07,True,6.97104098534873e-08,0.07537479687744195,0,False,0.7689315538846019,True,True
0.295,alpha_qg,n/a,3.5646923109036204e-07,True,6.922987763261124e-08,0.132252820427546,0,False,0.7773287732806056,True,True
0.295,bohmian_q,off,3.5646923109036204e-07,True,6.971004562499365e-08,0.0,0,False,0.7689385640694077,True,True
0.295,bohmian_q,gaussian,3.5646923109036204e-07,True,6.971043414000602e-08,0.08320244639292437,0,False,0.7689310313126707,True,True
0.295,bohmian_q,plateau,3.5646923109036204e-07,True,6.971049649525244e-08,0.07326584664609168,0,False,0.7689298984827636,True,True
0.295,bohmian_q,unified_dmde_proxy,3.5646923109036204e-07,True,6.971047816154608e-08,0.07593151639226797,0,False,0.7689302343470522,True,True
0.295,alpha_qg,n/a,4.2356770904717955e-07,True,6.913981952662463e-08,0.5844476514528119,0,False,0.7789124818677967,True,True
0.295,bohmian_q,off,4.2356770904717955e-07,True,6.971004562499365e-08,0.0,0,False,0.7689385640694077,True,True
0.295,bohmian_q,gaussian,4.2356770904717955e-07,True,6.971050785221783e-08,0.08377797748300886,0,False,0.7689296134102651,True,True
0.295,bohmian_q,plateau,4.2356770904717955e-07,True,6.971058146932164e-08,0.07370634334747692,0,False,0.7689282673449438,True,True
0.295,bohmian_q,unified_dmde_proxy,4.2356770904717955e-07,True,6.971055945443652e-08,0.07640646108081532,0,False,0.7689286664298529,True,True
0.295,alpha_qg,n/a,5.032961851958474e-07,True,6.903316057440642e-08,2.187320035675448,0,False,0.7807911522134937,True,False
0.295,bohmian_q,off,5.032961851958474e-07,True,6.971004562499365e-08,0.0,0,False,0.7689385640694077,True,True
0.295,bohmian_q,gaussian,5.032961851958474e-07,True,6.9710594866242e-08,0.08426854709977914,0,False,0.7689279286126189,True,True
0.295,bohmian_q,plateau,5.032961851958474e-07,True,6.971068160640029e-08,0.07408118991232408,0,False,0.7689263291735486,True,True
0.295,bohmian_q,unified_dmde_proxy,5.032961851958474e-07,True,6.971065596089077e-08,0.07681080114355948,0,False,0.7689268033793835,True,True
0.295,alpha_qg,n/a,5.980320138249203e-07,True,6.8906918600108e-08,0.5696677646375103,0,False,0.783019036749772,True,True
0.295,bohmian_q,off,5.980320138249203e-07,True,6.971004562499365e-08,0.0,0,False,0.7689385640694077,True,True
0.295,bohmian_q,gaussian,5.980320138249203e-07,True,6.971069820876021e-08,0.08468588260980472,0,False,0.7689259266808353,True,True
0.295,bohmian_q,plateau,5.980320138249203e-07,True,6.971080164474184e-08,0.07439962953695739,0,False,0.7689240261742033,True,True
0.295,bohmian_q,unified_dmde_proxy,5.980320138249203e-07,True,6.971077084627809e-08,0.07715442538236907,0,False,0.768924589641355,True,True
