omega_m,lane,quantum_model,amplitude,method,l2_vs_rk4_ref,stable,blowup_near_turning
0.295,alpha_qg,n/a,7.745966692414835e-07,euler,0.0359789646512322,True,False
0.295,alpha_qg,n/a,7.745966692414835e-07,heun,0.0002633343114386992,True,False
0.295,alpha_qg,n/a,7.745966692414835e-07,rk4,2.831000459103729e-07,True,False
0.295,bohmian_q,gaussian,7.745966692414835e-07,euler,0.03710206614908874,True,False
0.295,bohmian_q,gaussian,7.745966692414835e-07,heun,0.00027403100555121985,True,False
0.295,bohmian_q,gaussian,7.745966692414835e-07,rk4,2.87463683783741e-07,True,False
0.295,bohmian_q,plateau,7.745966692414835e-07,euler,0.037102193960248386,True,False
0.295,bohmian_q,plateau,7.745966692414835e-07,heun,0.0002740320047769585,True,False
0.295,bohmian_q,plateau,7.745966692414835e-07,rk4,2.874642490671923e-07,True,False
0.295,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,euler,0.037102156066397045,True,False
0.295,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,heun,0.0002740317085309637,True,False
0.295,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,rk4,2.874640814728828e-07,True,False
0.2975,alpha_qg,n/a,7.745966692414835e-07,euler,0.0412988131192773,True,False
0.2975,alpha_qg,n/a,7.745966692414835e-07,heun,0.0003043125956690394,True,False
0.2975,alpha_qg,n/a,7.745966692414835e-07,rk4,3.0622302858044084e-07,True,False
0.2975,bohmian_q,gaussian,7.745966692414835e-07,euler,0.04277359079005329,True,False
0.2975,bohmian_q,gaussian,7.745966692414835e-07,heun,0.0003179576243214172,True,False
0.2975,bohmian_q,gaussian,7.745966692414835e-07,rk4,3.115420101642879e-07,True,False
0.2975,bohmian_q,plateau,7.745966692414835e-07,euler,0.04277376406729403,True,False
0.2975,bohmian_q,plateau,7.745966692414835e-07,heun,0.0003179589673840801,True,False
0.2975,bohmian_q,plateau,7.745966692414835e-07,rk4,3.1154270246395727e-07,True,False
0.2975,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,euler,0.04277371238797408,True,False
0.2975,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,heun,0.0003179585668354521,True,False
0.2975,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,rk4,3.115424959034717e-07,True,False
0.3,alpha_qg,n/a,7.745966692414835e-07,euler,0.048686018178018334,True,False
