omega_m,lane,null_type,l2,threshold,passes
0.295,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.295,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.295,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.295,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.295,cross_lane,alpha_zero_vs_q_off,4.6521632764957555e-05,1e-08,False
0.2975,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.2975,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.2975,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.2975,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.2975,cross_lane,alpha_zero_vs_q_off,5.161626010466772e-05,1e-08,False
0.3,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3,cross_lane,alpha_zero_vs_q_off,5.877924127939929e-05,1e-08,False
0.3025,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3025,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3025,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3025,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3025,cross_lane,alpha_zero_vs_q_off,6.984714455479788e-05,1e-08,False
0.305,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.305,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.305,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.305,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.305,cross_lane,alpha_zero_vs_q_off,9.11275389620796e-05,1e-08,False
0.3075,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3075,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3075,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3075,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3075,cross_lane,alpha_zero_vs_q_off,0.0028131514119676265,1e-08,False
0.31,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.31,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.31,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.31,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.31,cross_lane,alpha_zero_vs_q_off,0.046072475152198866,1e-08,False
0.3125,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3125,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3125,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3125,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3125,cross_lane,alpha_zero_vs_q_off,0.12101922216455833,1e-08,False
0.315,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.315,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.315,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.315,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.315,cross_lane,alpha_zero_vs_q_off,1.3399854907626991,1e-08,False
