omega_m,lane,variant,amplitude,l2
0.295,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,0.011911967930442585
0.295,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,1.8649244388797886e-06
0.295,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,1.312006747409115e-06
0.2975,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,0.013736939426127923
0.2975,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,2.160341133293404e-06
0.2975,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,1.5160283411947845e-06
0.3,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,0.016259036064450106
0.3,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,2.572481163695535e-06
0.3,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,1.8007360440540848e-06
0.3025,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,0.020050767661885918
0.3025,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,3.201547650804552e-06
0.3025,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,2.2354932026329065e-06
0.305,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,0.02690400593550933
0.305,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,4.381446095608442e-06
0.305,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,3.051749807706102e-06
0.3075,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,0.6054229734744847
0.3075,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,8.609284322998542e-06
0.3075,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,5.9747190345065875e-06
0.31,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,14361341.902038489
0.31,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,6.326944460377416e-06
0.31,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,4.384507526638095e-06
0.3125,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,1274502113.841878
0.3125,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,5.4282672239626466e-06
0.3125,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,3.7525700463889514e-06
0.315,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,3408820275.006066
0.315,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,5.206135695452646e-06
0.315,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,3.589258125369797e-06
